No,Distance_m,Elevation_m
P1,0,-23.35
P2,14,-19.7
P3,53,-15.34
P4,92,-11.9
P5,156,-7
P6,195,-2.9
P7,225,1.6
P8,259,6
P9,292,10.3
P10,322,14.8
P11,375,18.2
P12,437,20.1
P13,533,22.3
P14,624,23.9
P15,734,25.1
P16,773,25.1
P17,800,26.1
P18,839,27.7
P19,875,27.9
P20,900,27.6
P21,943,27.1
P22,982,28.1
P23,1020,28
P24,1059,28.8
P25,1100,29.8
P26,1146,29.6
P27,1179,31.5
P28,1215,31.8
P29,1250,31.7
P30,1290,32
P31,1321,32.7
P32,1385,32.6
P33,1428,31.9
P34,1447,32.4
P35,1484,32.9
P36,1500,34.2
P37,1531,35.1
P38,1564,35.6
P39,1589,35.1
P40,1614,36.1
P41,1638,38.3
P42,1665,39.5
P43,1715,38.7
P44,1742,37.4
P45,1773,37.3
P46,1811,37.7
P47,1862,38.7
P48,1908,38.2
P49,1942,36.2
P50,1975,36.1
P51,2000,37
P52,2040,37.4
P53,2074,37.6
P54,2128,36.8
P55,2150,34.5
P56,2188,33.5
P57,2232,32.4
P58,2262,32
P59,2300,32.4
P60,2336,31.7
P61,2374,28.9
P62,2430,25.9
P63,2469,25.7
P64,2496,22.7
P65,2546,21.3
P66,2588,21.2
P67,2650,23
P68,2695,21.7
P69,2750,19.3
P70,2752,19.3
P71,2796,17.2
P72,2847,15.5
P73,2900,15.8
P74,2960,13.3
P75,3019,11.8
P76,3069,12.1
P77,3106,12
P78,14660,41
P79,14745,41.8
P80,14826,40.2
P81,14912,40
P82,14974,38.9
P83,15048,37
P84,15125,36.3
P85,15214,36.3
P86,15317,37.3
P87,15426,37.5
P88,15528,37.1
P89,15600,37.7
P90,15681,38.1
P91,15749,37.5
P92,15836,39.2
P93,15929,43.5
P94,16044,45.2
P95,16150,46.5
P96,16284,45.8
P97,16382,43.6
P98,16456,43.1
P99,16552,41
P100,16614,37.5
,16700,37.8
,16795,36.1
,16887,35.7
,16947,33
,17000,34.7
,17170,34.5
,17226,32.5
,17279,31.8
,17388,30.1
,17387,29.4
,17433,31
,17447,32.5
